(num_uses, address_count)
(1,29010878)
(2,193665574)
(3,1155861)
(4,8359430)
(5,455578)
(6,2785540)
(7,263206)
(8,1444710)
(9,169664)
(10,977941)
(11,120908)
(12,637995)
(13,91489)
(14,476673)
(15,73831)
(16,369152)
(17,60396)
(18,296190)
(19,50909)
(20,255484)
(21,44254)
(22,202369)
(23,39942)
(24,173230)
(25,35125)
(26,147101)
(27,30765)
(28,127800)
(29,27002)
(30,114122)
(31,24362)
(32,100036)
(33,21892)
(34,89202)
(35,19880)
(36,81624)
(37,18118)
(38,72455)
(39,17184)
(40,67757)
(41,15629)
(42,62221)
(43,14606)
(44,57724)
(45,13630)
(46,52325)
(47,12399)
(48,48316)
(49,11632)
(50,44648)
(51,10946)
(52,41547)
(53,10110)
(54,38981)
(55,9539)
(56,36953)
(57,8989)
(58,35074)
(59,8619)
(60,32735)
(61,8287)
(62,30550)
(63,7763)
(64,28960)
(65,7273)
(66,27765)
(67,6971)
(68,25898)
(69,6774)
(70,24650)
(71,6366)
(72,23071)
(73,6159)
(74,22024)
(75,6155)
(76,20904)
(77,5682)
(78,19701)
(79,5461)
(80,19195)
(81,5176)
(82,18315)
(83,5006)
(84,17073)
(85,4730)
(86,16589)
(87,4640)
(88,15537)
(89,4429)
(90,14946)
(91,4276)
(92,14178)
(93,4022)
(94,13389)
(95,3849)
(96,13445)
(97,3871)
(98,12508)
(99,3584)
(100,12348)
(101,3659)
(102,11429)
(103,3353)
(104,11058)
(105,3430)
(106,10566)
(107,3314)
(108,10378)
(109,3090)
(110,9892)
(111,3068)
(112,9799)
(113,2855)
(114,9162)
(115,2942)
(116,8899)
(117,2785)
(118,8575)
(119,2777)
(120,8859)
(121,2574)
(122,8282)
(123,2570)
(124,7983)
(125,2557)
(126,7676)
(127,2394)
(128,7582)
(129,2438)
(130,7514)
(131,2269)
(132,7085)
(133,2258)
(134,6917)
(135,2220)
(136,6656)
(137,2131)
(138,6627)
(139,2108)
(140,6540)
(141,2094)
(142,6176)
(143,2079)
(144,6029)
(145,1938)
(146,7077)
(147,1942)
(148,5491)
(149,2014)
(150,5766)
(151,1868)
(152,5394)
(153,1769)
(154,5289)
(155,1731)
(156,5187)
(157,1743)
(158,5164)
(159,1723)
(160,5067)
(161,1622)
(162,4820)
(163,1650)
(164,4646)
(165,1609)
(166,4550)
(167,1517)
(168,4464)
(169,1468)
(170,4316)
(171,1461)
(172,4294)
(173,1455)
(174,4109)
(175,1472)
(176,4083)
(177,1492)
(178,4041)
(179,1437)
(180,3920)
(181,1376)
(182,3888)
(183,1313)
(184,3656)
(185,1319)
(186,3674)
(187,1238)
(188,3613)
(189,1242)
(190,3527)
(191,1250)
(192,3780)
(193,1195)
(194,3406)
(195,1194)
(196,3262)
(197,1238)
(198,3250)
(199,1205)
(200,3580)
(201,1207)
(202,3158)
(203,1184)
(204,3113)
(205,1091)
(206,2887)
(207,1095)
(208,2938)
(209,1073)
(210,2934)
(211,1099)
(212,2753)
(213,999)
(214,2659)
(215,964)
(216,2729)
(217,974)
(218,2652)
(219,1026)
(220,2525)
(221,903)
(222,2447)
(223,941)
(224,2502)
(225,865)
(226,2458)
(227,856)
(228,2398)
(229,872)
(230,2366)
(231,938)
(232,2227)
(233,871)
(234,2286)
(235,878)
(236,2248)
(237,894)
(238,2135)
(239,825)
(240,2139)
(241,752)
(242,2111)
(243,809)
(244,2119)
(245,868)
(246,2039)
(247,780)
(248,2023)
(249,736)
(250,2053)
(251,749)
(252,1856)
(253,796)
(254,1905)
(255,791)
(256,1901)
(257,749)
(258,1845)
(259,751)
(260,1797)
(261,704)
(262,1783)
(263,672)
(264,1798)
(265,663)
(266,1696)
(267,692)
(268,1730)
(269,708)
(270,1660)
(271,691)
(272,1659)
(273,671)
(274,1666)
(275,633)
(276,1668)
(277,643)
(278,1595)
(279,639)
(280,1604)
(281,651)
(282,1605)
(283,641)
(284,1479)
(285,596)
(286,1443)
(287,612)
(288,1489)
(289,593)
(290,1451)
(291,592)
(292,1455)
(293,581)
(294,1463)
(295,609)
(296,1432)
(297,559)
(298,1335)
(299,618)
(300,1390)
(301,575)
(302,1389)
(303,576)
(304,1340)
(305,513)
(306,1305)
(307,551)
(308,1292)
(309,488)
(310,1278)
(311,525)
(312,1242)
(313,447)
(314,1265)
(315,494)
(316,1214)
(317,507)
(318,1186)
(319,452)
(320,1186)
(321,526)
(322,1186)
(323,515)
(324,1155)
(325,445)
(326,1110)
(327,463)
(328,1092)
(329,472)
(330,1126)
(331,474)
(332,1166)
