year-month,blocks,transactions,volume
2009-5,2276,2284,118193.98000000001
2010-7,8399,14359,1619714.4199889142
2011-6,13396,281705,3.9342075880709946E7
2012-5,18005,1268203,1.2193267553549598E8
2013-4,23048,3015206,1.4509085863738194E8
2014-3,28142,4906172,1.6328650859755903E8
2015-2,32756,7956595,1.9454926783119035E8
2016-1,37366,14284752,3.0386854790632826E8
2016-10,41903,22374349,3.7582719987806016E8
2016-9,46470,29746941,4.467575737558689E8
2017-0,51418,38364337,5.107221273522526E8
2009-6,1959,1964,104299.67
2010-0,7053,7110,402680.92999999993
2010-8,12699,20396,2089217.7094277109
2011-7,17144,256771,1.944152992206951E7
2012-6,21996,1156848,7.668986840070607E7
2013-5,27252,2562784,9.43034407053396E7
2014-4,32354,4556436,1.1778610733433267E8
2015-10,37065,9316409,1.9627724337335405E8
2015-3,41366,12512076,2.2560588515413782E8
2016-11,46082,21074481,2.782715376246408E8
2016-2,50717,27167459,4.01576886094517E8
2017-1,55001,35444840,4.566050452015884E8
2009-7,1593,1599,87897.59
2010-1,7299,7453,610022.78
2010-9,13301,21946,5818969.871425874
2011-0,18555,56939,9502818.063863168
2011-8,22787,251723,2.7123420474228255E7
2012-7,27747,1349240,1.6374651803857213E8
2013-6,33174,2556187,1.897439395878389E8
2014-10,37641,5068789,2.174257334667046E8
2014-5,42824,6886025,2.3716646125960514E8
2015-11,47950,12983515,3.481333308661912E8
2015-4,52484,16191632,3.798860067601566E8
2016-3,56986,22623387,4.664545567085805E8
2017-2,61641,31493397,5.581527929136178E8
2009-0,2592,2624,136215.0
2009-8,4790,4833,259166.0
2010-2,10085,10325,675921.69
2011-1,15753,57595,5214839.912641228
2011-9,19565,226367,1.7226531619226974E7
2012-0,24390,426324,2.889465695252439E7
2012-8,29165,1372449,3.66568352333649E8
2013-10,34420,3333622,4.1535835514652926E8
2013-7,40333,5048389,4.434001613438443E8
2014-11,44889,7752405,4.737667362532017E8
2014-6,49683,9684739,4.8852977801650435E8
2015-5,54129,13195679,5.280175059432277E8
2016-4,58781,19981486,6.02839610304506E8
2017-3,60280,22633696,6.398985325062841E8
2009-1,3441,3478,184284.56000000003
2009-10,5698,5750,447584.56000000006
2009-9,7863,7928,617534.2000000001
2010-3,13542,17660,1395133.5099999998
2011-2,18531,100970,1.0731437162573392E7
2012-1,22964,309412,2.655632925157553E7
2012-10,27467,1254375,7.196958541373637E7
2012-9,32147,2189686,1.354093880577386E8
2013-0,36654,3615208,1.871168188442185E8
2013-11,42349,5550393,2.2131534369861755E8
2013-8,48026,7148417,2.4302927782964215E8
2014-7,53221,9260707,2.6591679031768423E8
2015-6,57867,13573829,3.02278196564643E8
2016-5,62364,20449851,3.709751074413242E8
2009-11,4123,4159,265849.2
2009-2,7653,7710,455099.2
2010-4,12683,14012,1179047.9900000002
2011-10,16895,183101,5.115179107025288E7
2011-3,22074,257129,6.5049756126022905E7
2012-11,26349,1402763,1.1542249968932861E8
2012-2,31103,1606239,1.3367138581678276E8
2013-1,35819,3203850,1.7627918902603838E8
2013-9,42083,4849184,2.0497898842455286E8
2014-0,47623,6666765,2.2427698881804883E8
2014-8,52421,8811421,2.4099160720693493E8
2015-7,57084,12380591,2.8203281337346214E8
2016-6,61467,18882943,3.5007580385262436E8
2009-3,3504,3521,185532.51
2010-10,9522,67040,3318369.302167933
2010-5,14354,73804,4410576.66216793
2011-11,19022,246322,5.139355092328388E7
2011-4,25880,383078,6.3250425636446014E7
2012-3,30159,608345,9.610977645226245E7
2013-2,35581,2307736,1.5069921895792878E8
2014-1,40545,4154056,1.6851188285915795E8
2014-9,45273,6544326,1.9453168465605855E8
2015-0,49868,9435381,2.3314171088564524E8
2015-8,54398,13583754,2.704407407685446E8
2016-7,59082,20569171,3.345893836263709E8
2009-4,3446,3464,179109.94
2010-11,9156,20708,2797792.9770953273
2010-6,17177,47342,7533219.227094477
2011-5,23547,364938,8.057008122642213E7
2012-4,28039,1025636,1.5352480600609875E8
2013-3,33052,2732845,2.0634474070059633E8
2014-2,38231,4835377,2.3355737892906454E8
2015-1,42508,7496912,2.5778342122276774E8
2015-9,47132,11765830,3.068528648818083E8
2016-0,52062,17707519,5.300467466035638E8
2016-8,56637,24365810,5.848014843577E8
