(month year,new_address_count)
(01 2009,2)
(02 2009,6)
(04 2009,4)
(05 2009,7)
(06 2009,2)
(07 2009,3)
(08 2009,1)
(10 2009,5)
(11 2009,5)
(12 2009,16)
(01 2010,13)
(02 2010,41)
(03 2010,40)
(04 2010,3369)
(05 2010,229)
(06 2010,660)
(07 2010,17225)
(08 2010,5907)
(09 2010,7710)
(10 2010,9455)
(11 2010,13754)
(12 2010,15076)
(01 2011,28742)
(02 2011,51763)
(03 2011,80665)
(04 2011,84908)
(05 2011,181620)
(06 2011,423867)
(07 2011,482355)
(08 2011,377808)
(09 2011,270778)
(10 2011,201697)
(11 2011,187004)
(12 2011,162666)
(01 2012,184565)
(02 2012,197333)
(03 2012,200739)
(04 2012,224561)
(05 2012,450802)
(06 2012,616343)
(07 2012,642373)
(08 2012,798075)
(09 2012,643062)
(10 2012,683143)
(11 2012,604400)
(12 2012,664041)
(01 2013,840880)
(02 2013,820413)
(03 2013,1002915)
(04 2013,1454868)
(05 2013,1159066)
(06 2013,977999)
(07 2013,1059487)
(08 2013,1429552)
(09 2013,1145892)
(10 2013,1415610)
(11 2013,2316940)
(12 2013,2467583)
(01 2014,2139798)
(02 2014,2380001)
(03 2014,2852447)
(04 2014,2618841)
(05 2014,2526201)
(06 2014,2590213)
(07 2014,2750235)
(08 2014,2954603)
(09 2014,2977274)
(10 2014,3275393)
(11 2014,3322347)
(12 2014,3672156)
(01 2015,3786217)
(02 2015,3488825)
(03 2015,3854791)
(04 2015,3875313)
(05 2015,4057838)
(06 2015,4523486)
(07 2015,5008360)
(08 2015,4600072)
(09 2015,4926058)
(10 2015,5075805)
(11 2015,5823268)
(12 2015,7092635)
(01 2016,7267888)
(02 2016,7657777)
(03 2016,6863032)
(04 2016,6839378)
(05 2016,6634880)
(06 2016,7258413)
(07 2016,6926236)
(08 2016,7582311)
(09 2016,7890375)
(10 2016,8986806)
(11 2016,9898774)
(12 2016,10607555)
(01 2017,10358170)
(02 2017,9858708)
(03 2017,11165455)
